timestamp(ms),DataLoss,Millisekunden_pro_10000_Nachrichten,
"1705410008.301",,"2151",
"1705410010.451","0",,
"1705410010.455",,"2150",
"1705410012.6","0",,
"1705410012.602",,"2150",
"1705410014.75","0",,
"1705410014.752",,"2150",
"1705410016.901","0",,
"1705410016.903",,"2151",
"1705410019.051","0",,
"1705410019.053",,"2150",
"1705410021.201","0",,
"1705410021.203",,"2151",
"1705410023.352","0",,
"1705410023.354",,"2151",
"1705410025.502","0",,
"1705410025.505",,"2150",
"1705410027.652","0",,
"1705410027.655",,"2150",
"1705410029.804","0",,
"1705410029.806",,"2151",
"1705410031.954","0",,
"1705410031.957",,"2151",
"1705410034.104","0",,
"1705410034.106",,"2150",
"1705410036.254","0",,
"1705410036.257",,"2150",
"1705410038.405","0",,
"1705410038.408",,"2151",
"1705410040.556","0",,
"1705410040.558",,"2151",
"1705410042.706","0",,
"1705410042.708",,"2150",
"1705410044.857","0",,
"1705410044.859",,"2151",
"1705410047.007","0",,
"1705410047.01",,"2150",
"1705410049.157","0",,
"1705410049.159",,"2150",
"1705410051.308","0",,
"1705410051.31",,"2151",
"1705410053.459","0",,
"1705410053.461",,"2151",
"1705410055.609","0",,
"1705410055.611",,"2150",
"1705410057.759","0",,
"1705410057.761",,"2150",
"1705410059.91","0",,
"1705410059.912",,"2151",
"1705410062.06","0",,
"1705410062.062",,"2150",
"1705410064.21","0",,
"1705410064.213",,"2151",
"1705410066.361","0",,
"1705410066.363",,"2150",
"1705410068.512","0",,
"1705410068.514",,"2150",
"1705410070.662","0",,
"1705410070.664",,"2150",
"1705410072.812","0",,
"1705410072.815",,"2151",
"1705410074.963","0",,
"1705410074.965",,"2151",
"1705410077.12","0",,
"1705410077.123",,"2150",
"1705410079.264","0",,
"1705410079.266",,"2150",
"1705410081.415","0",,
"1705410081.417",,"2152",
"1705410083.565","0",,
"1705410083.567",,"2150",
"1705410085.715","0",,
"1705410085.717",,"2150",
"1705410087.866","0",,
"1705410087.869",,"2151",
"1705410090.017","0",,
"1705410090.019",,"2151",
"1705410092.167","0",,
"1705410092.169",,"2150",
"1705410094.318","0",,
"1705410094.32",,"2150",
"1705410096.468","0",,
"1705410096.47",,"2151",
"1705410098.618","0",,
"1705410098.62",,"2150",
"1705410100.769","0",,
"1705410100.771",,"2150",
"1705410102.923","0",,
"1705410102.926",,"2151",
